subject_id,model,gt_reps,pred_reps,abs_error,event_tp,event_fp,event_fn,event_precision,event_recall,event_f1
1,Threshold Baseline,2,18,16,2,16,0,0.1111111111111111,1.0,0.19999999999999998
1,Logistic Regression,2,3,1,1,2,1,0.3333333333333333,0.5,0.4
1,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666
2,Threshold Baseline,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882
2,Logistic Regression,2,2,0,0,2,2,0.0,0.0,0.0
2,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666
3,Threshold Baseline,2,20,18,1,19,1,0.05,0.5,0.09090909090909091
3,Logistic Regression,2,5,3,1,4,1,0.2,0.5,0.28571428571428575
3,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666
4,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367
4,Logistic Regression,2,2,0,1,1,1,0.5,0.5,0.5
4,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
5,Threshold Baseline,2,16,14,2,14,0,0.125,1.0,0.2222222222222222
5,Logistic Regression,2,3,1,1,2,1,0.3333333333333333,0.5,0.4
5,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
6,Threshold Baseline,2,30,28,2,28,0,0.06666666666666667,1.0,0.125
6,Logistic Regression,2,3,1,1,2,1,0.3333333333333333,0.5,0.4
6,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
7,Threshold Baseline,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882
7,Logistic Regression,2,5,3,2,3,0,0.4,1.0,0.5714285714285715
7,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
8,Threshold Baseline,3,17,14,3,14,0,0.17647058823529413,1.0,0.3
8,Logistic Regression,3,4,1,2,2,1,0.5,0.6666666666666666,0.5714285714285715
8,Random Forest,3,2,1,0,2,3,0.0,0.0,0.0
9,Threshold Baseline,2,18,16,2,16,0,0.1111111111111111,1.0,0.19999999999999998
9,Logistic Regression,2,3,1,1,2,1,0.3333333333333333,0.5,0.4
9,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
10,Threshold Baseline,2,24,22,0,24,2,0.0,0.0,0.0
10,Logistic Regression,2,6,4,0,6,2,0.0,0.0,0.0
10,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
11,Threshold Baseline,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882
11,Logistic Regression,2,5,3,0,5,2,0.0,0.0,0.0
11,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666
12,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367
12,Logistic Regression,2,5,3,1,4,1,0.2,0.5,0.28571428571428575
12,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0
