subject_id,model,gt_reps,pred_reps,abs_error,event_tp,event_fp,event_fn,event_precision,event_recall,event_f1,pp_config
1,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
1,Logistic Regression,2,11,9,2,9,0,0.18181818181818182,1.0,0.3076923076923077,minimal
1,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
2,Threshold Baseline,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882,minimal
2,Logistic Regression,2,12,10,2,10,0,0.16666666666666666,1.0,0.2857142857142857,minimal
2,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
3,Threshold Baseline,2,17,15,1,16,1,0.058823529411764705,0.5,0.10526315789473684,minimal
3,Logistic Regression,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882,minimal
3,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
4,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
4,Logistic Regression,2,8,6,2,6,0,0.25,1.0,0.4,minimal
4,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666,minimal
5,Threshold Baseline,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882,minimal
5,Logistic Regression,2,7,5,2,5,0,0.2857142857142857,1.0,0.4444444444444445,minimal
5,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
6,Threshold Baseline,2,27,25,2,25,0,0.07407407407407407,1.0,0.13793103448275862,minimal
6,Logistic Regression,2,6,4,2,4,0,0.3333333333333333,1.0,0.5,minimal
6,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666,minimal
7,Threshold Baseline,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
7,Logistic Regression,2,12,10,2,10,0,0.16666666666666666,1.0,0.2857142857142857,minimal
7,Random Forest,2,2,0,1,1,1,0.5,0.5,0.5,minimal
8,Threshold Baseline,3,16,13,3,13,0,0.1875,1.0,0.3157894736842105,minimal
8,Logistic Regression,3,12,9,3,9,0,0.25,1.0,0.4,minimal
8,Random Forest,3,2,1,2,0,1,1.0,0.6666666666666666,0.8,minimal
9,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
9,Logistic Regression,2,9,7,2,7,0,0.2222222222222222,1.0,0.3636363636363636,minimal
9,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0,minimal
10,Threshold Baseline,2,22,20,0,22,2,0.0,0.0,0.0,minimal
10,Logistic Regression,2,12,10,2,10,0,0.16666666666666666,1.0,0.2857142857142857,minimal
10,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0,minimal
11,Threshold Baseline,2,15,13,2,13,0,0.13333333333333333,1.0,0.23529411764705882,minimal
11,Logistic Regression,2,13,11,2,11,0,0.15384615384615385,1.0,0.2666666666666667,minimal
11,Random Forest,2,2,0,1,1,1,0.5,0.5,0.5,minimal
12,Threshold Baseline,2,16,14,2,14,0,0.125,1.0,0.2222222222222222,minimal
12,Logistic Regression,2,11,9,2,9,0,0.18181818181818182,1.0,0.3076923076923077,minimal
12,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
13,Threshold Baseline,2,14,12,1,13,1,0.07142857142857142,0.5,0.125,minimal
13,Logistic Regression,2,16,14,2,14,0,0.125,1.0,0.2222222222222222,minimal
13,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
14,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
14,Logistic Regression,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
14,Random Forest,2,2,0,1,1,1,0.5,0.5,0.5,minimal
15,Threshold Baseline,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
15,Logistic Regression,2,10,8,2,8,0,0.2,1.0,0.33333333333333337,minimal
15,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
16,Threshold Baseline,2,19,17,2,17,0,0.10526315789473684,1.0,0.1904761904761905,minimal
16,Logistic Regression,2,21,19,2,19,0,0.09523809523809523,1.0,0.17391304347826084,minimal
16,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666,minimal
17,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
17,Logistic Regression,2,20,18,2,18,0,0.1,1.0,0.18181818181818182,minimal
17,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0,minimal
18,Threshold Baseline,2,22,20,1,21,1,0.045454545454545456,0.5,0.08333333333333334,minimal
18,Logistic Regression,2,31,29,2,29,0,0.06451612903225806,1.0,0.12121212121212122,minimal
18,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666,minimal
19,Threshold Baseline,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
19,Logistic Regression,2,12,10,2,10,0,0.16666666666666666,1.0,0.2857142857142857,minimal
19,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666,minimal
20,Threshold Baseline,2,16,14,0,16,2,0.0,0.0,0.0,minimal
20,Logistic Regression,2,14,12,1,13,1,0.07142857142857142,0.5,0.125,minimal
20,Random Forest,2,1,1,1,0,1,1.0,0.5,0.6666666666666666,minimal
21,Threshold Baseline,2,16,14,1,15,1,0.0625,0.5,0.1111111111111111,minimal
21,Logistic Regression,2,22,20,2,20,0,0.09090909090909091,1.0,0.16666666666666669,minimal
21,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
22,Threshold Baseline,3,22,19,2,20,1,0.09090909090909091,0.6666666666666666,0.16,minimal
22,Logistic Regression,3,12,9,3,9,0,0.25,1.0,0.4,minimal
22,Random Forest,3,2,1,2,0,1,1.0,0.6666666666666666,0.8,minimal
23,Threshold Baseline,2,17,15,2,15,0,0.11764705882352941,1.0,0.21052631578947367,minimal
23,Logistic Regression,2,7,5,2,5,0,0.2857142857142857,1.0,0.4444444444444445,minimal
23,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0,minimal
24,Threshold Baseline,2,18,16,2,16,0,0.1111111111111111,1.0,0.19999999999999998,minimal
24,Logistic Regression,2,13,11,2,11,0,0.15384615384615385,1.0,0.2666666666666667,minimal
24,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
25,Threshold Baseline,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
25,Logistic Regression,2,12,10,2,10,0,0.16666666666666666,1.0,0.2857142857142857,minimal
25,Random Forest,2,0,2,0,0,2,0.0,0.0,0.0,minimal
26,Threshold Baseline,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
26,Logistic Regression,2,9,7,2,7,0,0.2222222222222222,1.0,0.3636363636363636,minimal
