subject_id,model,precision,recall,f1,pr_auc,tp,fp,fn,n_test_pos,n_test_neg
1,Threshold Baseline,0.011764705882352941,1.0,0.023255813953488372,,5,420,0,5,615
1,Logistic Regression,0.3125,1.0,0.47619047619047616,0.8909090909090909,5,11,0,5,615
1,Random Forest,1.0,0.8,0.8888888888888888,0.925,4,0,1,5,615
2,Threshold Baseline,0.010582010582010581,1.0,0.020942408376963352,,4,374,0,4,533
2,Logistic Regression,0.21052631578947367,1.0,0.34782608695652173,0.46590909090909094,4,15,0,4,533
2,Random Forest,0.6666666666666666,0.5,0.5714285714285714,0.6527777777777778,2,1,2,4,533
3,Threshold Baseline,0.012690355329949238,1.0,0.02506265664160401,,5,389,0,5,594
3,Logistic Regression,0.16666666666666666,0.8,0.27586206896551724,0.6260107816711591,4,20,1,5,594
3,Random Forest,1.0,0.6,0.75,0.8277777777777777,3,0,2,5,594
4,Threshold Baseline,0.011627906976744186,0.8,0.022922636103151862,,4,340,1,5,517
4,Logistic Regression,0.38461538461538464,1.0,0.5555555555555556,0.7158119658119657,5,8,0,5,517
4,Random Forest,0.5,0.2,0.2857142857142857,0.7247619047619047,1,1,4,5,517
5,Threshold Baseline,0.012012012012012012,1.0,0.02373887240356083,,4,329,0,4,491
5,Logistic Regression,0.26666666666666666,1.0,0.42105263157894735,0.6527777777777778,4,11,0,4,491
5,Random Forest,1.0,0.5,0.6666666666666666,1.0,2,0,2,4,491
6,Threshold Baseline,0.007228915662650603,1.0,0.014354066985645933,,3,412,0,3,754
6,Logistic Regression,0.15384615384615385,0.6666666666666666,0.25,0.7101449275362319,2,11,1,3,754
6,Random Forest,1.0,0.3333333333333333,0.5,0.5805555555555556,1,0,2,3,754
7,Threshold Baseline,0.009009009009009009,1.0,0.017857142857142856,,3,330,0,3,513
7,Logistic Regression,0.13636363636363635,1.0,0.24,0.45833333333333326,3,19,0,3,513
7,Random Forest,1.0,0.3333333333333333,0.5,0.8055555555555556,1,0,2,3,513
8,Threshold Baseline,0.01607717041800643,1.0,0.03164556962025317,,5,306,0,5,490
8,Logistic Regression,0.25,1.0,0.4,0.6625,5,15,0,5,490
8,Random Forest,0.75,0.6,0.6666666666666666,0.604040404040404,3,1,2,5,490
9,Threshold Baseline,0.00911854103343465,1.0,0.018072289156626505,,3,326,0,3,492
9,Logistic Regression,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.5625,2,12,1,3,492
9,Random Forest,0.0,0.0,0.0,0.34842543077837196,0,0,3,3,492
10,Threshold Baseline,0.008086253369272238,1.0,0.016042780748663103,,3,368,0,3,574
10,Logistic Regression,0.08108108108108109,1.0,0.15,1.0,3,34,0,3,574
10,Random Forest,0.0,0.0,0.0,0.39062199114192175,0,0,3,3,574
11,Threshold Baseline,0.011869436201780416,1.0,0.02346041055718475,,4,333,0,4,508
11,Logistic Regression,0.19047619047619047,1.0,0.32,0.8166666666666667,4,17,0,4,508
11,Random Forest,0.6666666666666666,0.5,0.5714285714285714,0.6845238095238095,2,1,2,4,508
12,Threshold Baseline,0.01282051282051282,1.0,0.02531645569620253,,4,308,0,4,505
12,Logistic Regression,0.21052631578947367,1.0,0.34782608695652173,0.6071428571428571,4,15,0,4,505
12,Random Forest,1.0,0.5,0.6666666666666666,0.95,2,0,2,4,505
13,Threshold Baseline,0.01440922190201729,0.8333333333333334,0.028328611898016998,,5,342,1,6,538
13,Logistic Regression,0.2222222222222222,1.0,0.36363636363636365,0.7810457516339868,6,21,0,6,538
13,Random Forest,1.0,0.6666666666666666,0.8,0.976190476190476,4,0,2,6,538
14,Threshold Baseline,0.0113314447592068,1.0,0.022408963585434174,,4,349,0,4,524
14,Logistic Regression,0.12903225806451613,1.0,0.22857142857142856,0.5829545454545454,4,27,0,4,524
14,Random Forest,1.0,0.5,0.6666666666666666,0.8333333333333333,2,0,2,4,524
