subject_id,activity,trial,rep_number,peak_dynamic_accel_ms2,time_per_rep_s,peak_gyro_rad_s,power_w_kg
SE01,D07,1,1,4.733924359143357,12.0,1.791326861528885,0.573885
SE01,D07,2,2,5.088375395529354,12.0,2.0483731666302973,0.573885
SE01,D07,3,3,4.91304209446122,12.02,1.8299465291140777,0.5729301164725458
SE01,D07,4,4,4.73217818182359,12.0,1.8235687130640514,0.573885
SE01,D07,5,5,4.855837586333885,12.0,1.9234234014764238,0.573885
SE01,D08,1,6,11.066807657069232,12.0,2.6787555952517965,0.573885
SE01,D08,2,7,8.92321382597447,12.0,2.817716245462763,0.573885
SE01,D08,3,8,10.36976268564411,12.0,2.533468077994298,0.573885
SE01,D08,4,9,9.227526135862636,12.0,3.1268940455177043,0.573885
SE01,D08,5,10,10.484464615383335,12.0,2.9081673125761514,0.573885
SE02,D07,1,1,4.711777733603499,12.0,1.40302996614132,0.573885
SE02,D07,2,2,5.669101564060614,12.0,1.4265596035666581,0.573885
SE02,D07,3,3,5.355286105583559,12.0,1.5242450342158327,0.573885
SE02,D07,4,4,4.243152233002343,12.0,1.2746376424406707,0.573885
SE02,D07,5,5,5.020400261847713,12.0,1.1667499186003285,0.573885
SE02,D08,1,6,12.94818929123699,12.0,2.3031028980070096,0.573885
SE02,D08,2,7,13.429221720447705,12.0,2.9002387180856433,0.573885
SE02,D08,3,8,5.959806260373245,12.0,1.5877317510110251,0.573885
SE02,D08,4,9,9.151464016607715,12.02,2.1130369631449364,0.5729301164725458
SE02,D08,5,10,10.05048158131165,12.0,2.2179729465732128,0.573885
SE03,D07,1,1,5.692114376925202,12.0,2.238160056352345,0.573885
SE03,D07,2,2,4.396562756930794,12.0,1.9447372920904693,0.573885
SE03,D07,3,3,5.565526578357826,12.0,2.2432693607692733,0.573885
SE03,D07,4,4,5.532359376176839,12.0,2.0487187607029793,0.573885
SE03,D07,5,5,4.357089585230714,12.0,2.5657350480483005,0.573885
